Föremålsbenämning,Föremålsnr.,Förvärvsnr.,Andra nummer,Material,Plats,Fornlämning,Socken,Landskap,Land,Kontexttyp,Kontextnr.,Museum,Unique Name,Catalog Link,Kategori,Antal,Datering,Tidsperiod,Föremålsnummer,Historisk plats,Förvärvsnummer,Omnämns i katalog,Förvärvsmetod,Förvärvsdatum,Fyndplats,Arkeologisk kontext,Kontextnamn,Undersökare,Undersökningsår,Storlek,Antal fragment,plats_latitude,plats_longitude,historisk_plats_latitude,historisk_plats_longitude,Föremålsbenämning_translated,Föremålsnr._translated,Andra nummer_translated,Material_translated,Plats_translated,Fornlämning_translated,Socken_translated,Landskap_translated,Land_translated,Kontexttyp_translated,Kontextnr._translated,Kategori_translated,Datering_translated,Tidsperiod_translated,Föremålsnummer_translated,Historisk plats_translated,Omnämns i katalog_translated,Förvärvsmetod_translated,Fyndplats_translated,Arkeologisk kontext_translated,Kontextnamn_translated,Undersökare_translated,Undersökningsår_translated,Storlek_translated,Era Start Year,Era End Year,Width,Length,Thickness,Diameter,Weight,year_uncovered
Svärd,106741_HST,16905.0,FID: 106741,Järn,Burge,,Lummelunda socken,Gotland,Sverige,,,Historiska museet,Svärd - 11,https://samlingar.shm.se/object/21515015-8A59-4F13-9B84-FACB558CE9DE,Vapen och rustningar  Arkeologisk samling,1.0,800 – 1100,Vikingatid,106741_HST,,16905.0,http://catview.historiska.se/catview/CatViewServlet/index.jsp?action=search&redirect=true&inventoryNumber=16905,,1922.0,"Plats: Burge, Socken: Lummelunda socken, Kommun: Gotland kommun, Landskap: Gotland, Land: Sverige",,,,,,,46.0533463,11.4566004,46.3144754,11.0480288,Sword,106741_HST,FID: 106741,Iron,Burge,,Lummelunda parish,Gotland,Sweden,,,Weapons and armor Archaeological collection,800 – 1100,Viking age,106741_HST,,http://catview.historiska.se/catview/CatViewServlet/index.jsp?action=search&redirect=true&inventoryNumber=16905,,"Place: Burge, Parish: Lummelunda parish, Municipality: Gotland municipality, Landscape: Gotland, Country: Sweden",,,,,,800,1100,,,,,,
Spjutspets,106757_HST,13581.0,FID: 106757,Järn,Villsberga,,Biskopskulla socken,Uppland,Sverige,,,Historiska museet,Spjutspets - 12,https://samlingar.shm.se/object/333253B6-5192-43C2-92E8-E200C99B749A,Arkeologisk samling  Vapen och rustningar,1.0,800 – 1100,Vikingatid,106757_HST,,13581.0,http://catview.historiska.se/catview/CatViewServlet/index.jsp?action=search&redirect=true&inventoryNumber=13581,,1908.0,"Plats: Villsberga, Socken: Biskopskulla socken, Kommun: Enköping kommun, Landskap: Uppland, Land: Sverige",,,,,,,59.7237977,17.223294,46.3144754,11.0480288,Spearhead,106757_HST,FID: 106757,Iron,Villsberga,,Bishopskulla parish,Hinterland,Sweden,,,Archaeological collection Weapons and armor,800 – 1100,Viking age,106757_HST,,http://catview.historiska.se/catview/CatViewServlet/index.jsp?action=search&redirect=true&inventoryNumber=13581,,"Place: Villsberga, Parish: Biskopskulla parish, Municipality: Enköping municipality, Landscape: Uppland, Country: Sweden",,,,,,800,1100,,,,,,
Svärd,106758_HST,2194.0,Undernummer: 2,Järn,Ultuna kungsladugård,,Bondkyrka socken,Uppland,Sverige,,,Historiska museet,Svärd - 13,https://samlingar.shm.se/object/758C7462-DAF9-4DD4-8679-C7812ADE979A,Vapen och rustningar  Arkeologisk samling,1.0,550 – 1100,Vendeltid  Vikingatid,106758_HST,,2194.0,http://catview.historiska.se/catview/CatViewServlet/index.jsp?action=search&redirect=true&inventoryNumber=2194,,1855.0,"Plats: Ultuna kungsladugård, Socken: Bondkyrka socken, Kommun: Uppsala kommun, Landskap: Uppland, Land: Sverige",,,,,,,,,46.3144754,11.0480288,Sword,106758_HST,Subnumber: 2,Iron,Ultuna royal barn,,Bondkirka parish,Hinterland,Sweden,,,Weapons and armor Archaeological collection,550 – 1100,Vendel time Viking age,106758_HST,,http://catview.historiska.se/catview/CatViewServlet/index.jsp?action=search&redirect=true&inventoryNumber=2194,,"Place: Ultuna kungsladugård, Parish: Bondkyrka parish, Municipality: Uppsala municipality, Landscape: Uppland, Country: Sweden",,,,,,550,1100,,,,,,
Svärd Petersen S,106760_HST,14471.0,FID: 106760,Järn,Sigridsholm,,Lunda socken,Uppland,Sverige,,,Historiska museet,Svärd Petersen S - 14,https://samlingar.shm.se/object/CBD5C08B-ACD8-407C-8DB0-F3F6115BF5A0,Vapen och rustningar  Arkeologisk samling,1.0,800 – 1100,Vikingatid,106760_HST,,14471.0,http://catview.historiska.se/catview/CatViewServlet/index.jsp?action=search&redirect=true&inventoryNumber=14471,,1911.0,"Plats: Sigridsholm, Socken: Lunda socken, Kommun: Sigtuna kommun, Landskap: Uppland, Land: Sverige",,,,,,,59.672228,18.0186091,46.3144754,11.0480288,Sword Petersen S,106760_HST,FID: 106760,Iron,Sigridsholm,,Lunda parish,Hinterland,Sweden,,,Weapons and armor Archaeological collection,800 – 1100,Viking age,106760_HST,,http://catview.historiska.se/catview/CatViewServlet/index.jsp?action=search&redirect=true&inventoryNumber=14471,,"Place: Sigridsholm, Parish: Lunda parish, Municipality: Sigtuna municipality, Landscape: Uppland, Country: Sweden",,,,,,800,1100,,,,,,
Svärd Petersen V,107067_HST,12426.0,Undernummer: M:IV,Järn,Rösta,L1945:291,Ås socken,Jämtland,Sverige,Grav,M:IV,Historiska museet,Svärd Petersen V - 15,https://samlingar.shm.se/object/FAC5B162-EE4D-4539-9891-C775BB477E2D,Vapen och rustningar  Arkeologisk samling,1.0,800 – 1100,Vikingatid,107067_HST,,12426.0,http://catview.historiska.se/catview/CatViewServlet/index.jsp?action=search&redirect=true&inventoryNumber=12426,,1905.0,"Plats: Rösta, Fornlämning: L1945:291, Socken: Ås socken, Kommun: Krokom kommun, Landskap: Jämtland, Land: Sverige",Grav: M:IV,,,,,,59.6128374,17.2689711,46.3144754,11.0480288,Svard Petersen V,107067_HST,Subnumber: M:IV,Iron,Vote,L1945:291,Ås parish,Jamtland,Sweden,Serious,M: IV,Weapons and armor Archaeological collection,800 – 1100,Viking age,107067_HST,,http://catview.historiska.se/catview/CatViewServlet/index.jsp?action=search&redirect=true&inventoryNumber=12426,,"Place: Rösta, Ancient remains: L1945:291, Parish: Ås socken, Municipality: Krokom municipality, Landscape: Jämtland, Country: Sweden",Grav: M:IV,,,,,800,1100,,,,,,
Svärd,107081_HST,25370.0,FID: 107081,Järn,Östveda,L1951:6790,Hedesunda socken,Gästrikland,Sverige,Brandgrav,,Historiska museet,Svärd - 16,https://samlingar.shm.se/object/100D9D5B-D320-4E88-A052-AF616BB9C91A,Vapen och rustningar  Arkeologisk samling,1.0,800 – 1100,Vikingatid,107081_HST,,25370.0,http://catview.historiska.se/catview/CatViewServlet/index.jsp?action=search&redirect=true&inventoryNumber=25370,,1956.0,"Plats: Östveda, Fornlämning: L1951:6790, Fastighet: Östveda 1:2, Socken: Hedesunda socken, Kommun: Gävle kommun, Landskap: Gästrikland, Land: Sverige",Brandgrav,,,,,,60.3845286,17.096026,46.3144754,11.0480288,Sword,107081_HST,FID: 107081,Iron,Eastern woods,L1951:6790,Hedesunda parish,Guest country,Sweden,Brandgrav,,Weapons and armor Archaeological collection,800 – 1100,Viking age,107081_HST,,http://catview.historiska.se/catview/CatViewServlet/index.jsp?action=search&redirect=true&inventoryNumber=25370,,"Place: Östveda, Ancient site: L1951:6790, Property: Östveda 1:2, Parish: Hedesunda parish, Municipality: Gävle municipality, Landscape: Gästrikland, Country: Sweden",Brandgrav,,,,,800,1100,,,,,,
Tveeggat svärd,107082_HST,18780.0,Undernummer: 2,Järn,Norra Åbyggeby,L1951:3125,Hille socken,Gästrikland,Sverige,Grav,2,Historiska museet,Tveeggat svärd - 17,https://samlingar.shm.se/object/AF798231-3D39-4CA6-8136-217FE45A6676,Vapen och rustningar  Arkeologisk samling,1.0,800 – 1100,Vikingatid,107082_HST,,18780.0,http://catview.historiska.se/catview/CatViewServlet/index.jsp?action=search&redirect=true&inventoryNumber=18780,,1928.0,"Plats: Norra Åbyggeby, Fornlämning: L1951:3125, Socken: Hille socken, Kommun: Gävle kommun, Landskap: Gästrikland, Land: Sverige",Grav: 2,,,,,,60.7333682,17.1186237,46.3144754,11.0480288,Double-edged sword,107082_HST,Subnumber: 2,Iron,Norra Åbyggeby,L1951:3125,Hille socken,Guest country,Sweden,Serious,2,Weapons and armor Archaeological collection,800 – 1100,Viking age,107082_HST,,http://catview.historiska.se/catview/CatViewServlet/index.jsp?action=search&redirect=true&inventoryNumber=18780,,"Place: Norra Åbyggeby, Ancient remains: L1951:3125, Parish: Hille parish, Municipality: Gävle municipality, Landscape: Gästrikland, Country: Sweden",Serious: 2,,,,,800,1100,,,,,,
Tveeggat svärd,107083_HST,12572.0,FID: 107083,Järn,Yttermyra,,Ovansjö socken,Gästrikland,Sverige,,,Historiska museet,Tveeggat svärd - 18,https://samlingar.shm.se/object/E4987403-CD5A-4574-87DD-58A59A6C28AF,Vapen och rustningar  Arkeologisk samling,1.0,800 – 1100,Vikingatid,107083_HST,,12572.0,http://catview.historiska.se/catview/CatViewServlet/index.jsp?action=search&redirect=true&inventoryNumber=12572,,1905.0,"Plats: Yttermyra, Socken: Ovansjö socken, Kommun: Sandviken kommun, Landskap: Gästrikland, Land: Sverige",,,,,Längd 98.5 cm  Bredd 15 cm,,60.5938804,16.5797904,46.3144754,11.0480288,Double-edged sword,107083_HST,FID: 107083,Iron,Outer ant,,Ovansjö parish,Guest country,Sweden,,,Weapons and armor Archaeological collection,800 – 1100,Viking age,107083_HST,,http://catview.historiska.se/catview/CatViewServlet/index.jsp?action=search&redirect=true&inventoryNumber=12572,,"Place: Yttermyra, Parish: Ovansjö parish, Municipality: Sandviken municipality, Landscape: Gästrikland, Country: Sweden",,,,,Length 98.5 cm Width 15 cm,800,1100,150.0,985.0,,,,
Svärd,107084_HST,,FID: 107084,Järn,,,,,Sverige,,,Historiska museet,Svärd - 19,https://samlingar.shm.se/object/1BD79EDF-3F9B-4FBB-A3D1-C4DEC6566C07,Vapen och rustningar  Arkeologisk samling,1.0,800 – 1100,Vikingatid,107084_HST,,,,,,Land: Sverige,,,,,,,46.3144754,11.0480288,46.3144754,11.0480288,Sword,107084_HST,FID: 107084,Iron,,,,,Sweden,,,Weapons and armor Archaeological collection,800 – 1100,Viking age,107084_HST,,,,Country: Sweden,,,,,,800,1100,,,,,,
Svärd,25356_HST,31603.0,FID: 25356,Järn,Ormängen,L1943:6305,Kungs-Husby socken,Uppland,Sverige,,,Historiska museet,Svärd - 20,https://samlingar.shm.se/object/11CCFAA6-62CC-462F-AFB4-08CE84262C32,Vapen  Vapen och rustningar  Arkeologisk samling,1.0,800 – 1100,Vikingatid,25356_HST,,31603.0,,,1984.0,"Plats: Ormängen, Fornlämning: L1943:6305, Fastighet: Ormängen 1:3, Socken: Kungs-Husby socken, Kommun: Enköping kommun, Landskap: Uppland, Land: Sverige",,,,,Bredd 21 mm  Längd 56 mm  Tjocklek 19 mm  Längd 56 mm  Bredd 21 mm  Tjocklek 19 mm  + Visa 1 till,,59.8769311,16.4651379,46.3144754,11.0480288,Sword,25356_HST,FID: 25356,Iron,Ormängen,L1943:6305,Kungs-Husby parish,Hinterland,Sweden,,,Weapons Weapons and armor Archaeological collection,800 – 1100,Viking age,25356_HST,,,,"Place: Ormängen, Ancient remains: L1943:6305, Property: Ormängen 1:3, Parish: Kungs-Husby parish, Municipality: Enköping municipality, Landscape: Uppland, Country: Sweden",,,,,Width 21 mm Length 56 mm Thickness 19 mm Length 56 mm Width 21 mm Thickness 19 mm + Show 1 more,800,1100,21.0,56.0,19.0,,,
Rundsköld,106520_HST,34000.0,Undernummer: Bj 977,Järn,"Björkö, Hemlanden",L2017:1904,Adelsö socken,Uppland,Sverige,Kammargrav,977,Historiska museet,Rundsköld - 21,https://samlingar.shm.se/object/F200C235-F93E-4717-9710-8DD15F597467,Vapen och rustningar  Arkeologisk samling,1.0,800 – 1100,Vikingatid,106520_HST,"Birka, Adelsö socken",34000.0,http://catview.historiska.se/catview/CatViewServlet/index.jsp?action=search&redirect=true&inventoryNumber=34000,KML,2000.0,"Plats: Björkö, Hemlanden, Fornlämning: L2017:1904, Socken: Adelsö socken, Kommun: Ekerö kommun, Landskap: Uppland, Land: Sverige","Kammargrav, Grav, Hög: 977",Bj 977,"Stolpe, Hjalmar",1881,,18.0,,,,,Round shield,106520_HST,Subnumber: Bj 977,Iron,"Björkö, Hemlanden",L2017:1904,Adelsö parish,Hinterland,Sweden,Chamber tomb,977,Weapons and armor Archaeological collection,800 – 1100,Viking age,106520_HST,"Birka, Adelsö parish",http://catview.historiska.se/catview/CatViewServlet/index.jsp?action=search&redirect=true&inventoryNumber=34000,KML,"Place: Björkö, Homeland, Archaeological site: L2017:1904, Parish: Adelsö parish, Municipality: Ekerö municipality, Landscape: Uppland, Country: Sweden","Chamber tomb, Grave, Mound: 977",Bj 977,"Stolpe, Hjalmar",1881,,800,1100,,,,,,1881.0
Svärd,106754_HST,14146.0,FID: 106754,Järn,Linga,L2017:50,Överjärna socken,Södermanland,Sverige,,,Historiska museet,Svärd - 22,https://samlingar.shm.se/object/6F9E77CA-4576-4692-9F02-C9609AA3B9E0,Vapen och rustningar  Arkeologisk samling,1.0,800 – 1100,Vikingatid,106754_HST,,14146.0,http://catview.historiska.se/catview/CatViewServlet/index.jsp?action=search&redirect=true&inventoryNumber=14146,,1910.0,"Plats: Linga, Fornlämning: L2017:50, Socken: Överjärna socken, Kommun: Södertälje kommun, Landskap: Södermanland, Land: Sverige",,,,,,,52.5224659,7.316584,46.3144754,11.0480288,Sword,106754_HST,FID: 106754,Iron,Linga,L2017:50,Iron the parish,Södermanland,Sweden,,,Weapons and armor Archaeological collection,800 – 1100,Viking age,106754_HST,,http://catview.historiska.se/catview/CatViewServlet/index.jsp?action=search&redirect=true&inventoryNumber=14146,,"Place: Linga, Ancient remains: L2017:50, Parish: Överjärna parish, Municipality: Södertälje municipality, Landscape: Södermanland, Country: Sweden",,,,,,800,1100,,,,,,
