Föremålsbenämning,Föremålsnr.,Förvärvsnr.,Andra nummer,Material,Plats,Fornlämning,Socken,Landskap,Land,Kontexttyp,Kontextnr.,Museum,Unique Name,Catalog Link,Kategori,Storlek,Antal,Datering,Tidsperiod,Föremålsnummer,Förvärvsnummer,Omnämns i katalog,Förvärvsdatum,Fyndplats,Arkeologisk kontext,Förvärvsmetod,Kontextnamn,Historisk plats,Undersökare,Undersökningsår,latitude,longitude,historisk_plats_latitude,historisk_plats_longitude,Föremålsbenämning_translated,Föremålsnr._translated,Andra nummer_translated,Material_translated,Plats_translated,Fornlämning_translated,Socken_translated,Landskap_translated,Land_translated,Kontexttyp_translated,Kontextnr._translated,Kategori_translated,Storlek_translated,Datering_translated,Tidsperiod_translated,Föremålsnummer_translated,Omnämns i katalog_translated,Fyndplats_translated,Arkeologisk kontext_translated,Förvärvsmetod_translated,Kontextnamn_translated,Historisk plats_translated,Undersökare_translated,Undersökningsår_translated,Era Start Year,Era End Year,Width,Length,Thickness,Diameter,Weight,year_uncovered
spiralring,1080_HST,33759.0,Undernummer: 462,Silver,Spillings,L1976:7626,Othem socken,Gotland,Sverige,Skattfynd,2,Historiska museet,spiralring - 69,https://samlingar.shm.se/object/DDD145A2-CE86-4EE1-99A8-7D8C118BBE47,Handel och värdemätare  Arkeologisk samling,Vikt 94.99 g  Diameter 75 mm  Bredd 5 mm  Tjocklek 5 mm,1.0,800 – 1100,Vikingatid,1080_HST,33759.0,http://catview.historiska.se/catview/CatViewServlet/index.jsp?action=search&redirect=true&inventoryNumber=33759,2002.0,"Plats: Spillings, Fornlämning: L1976:7626, Fastighet: Spillings 1:36, Socken: Othem socken, Kommun: Gotland kommun, Landskap: Gotland, Land: Sverige",Skattfynd: 2,,,,,,57.7280603,18.7542093,46.3144754,11.0480288,spiralring,1080_HST,Subnumber: 462,Silver,Gambling,L1976:7626,Othem parish,Gotland,Sweden,Tax fun,2,Trade and valuers Archaeological collection,Weight 94.99 g Diameter 75 mm Width 5 mm Thickness 5 mm,800 – 1100,Viking age,1080_HST,http://catview.historiska.se/catview/CatViewServlet/index.jsp?action=search&redirect=true&inventoryNumber=33759,"Place: Spillings, Ancient site: L1976:7626, Property: Spillings 1:36, Parish: Othem parish, Municipality: Gotland municipality, Landscape: Gotland, Country: Sweden",Tax jokes: 2,,,,,,800,1100,5.0,,5.0,75.0,94.99,
Permisk halsring,1096_HST,33759.0,Undernummer: 478,Silver,Spillings,L1976:7626,Othem socken,Gotland,Sverige,Skattfynd,2,Historiska museet,Permisk halsring - 70,https://samlingar.shm.se/object/0FAA9F22-8393-4B53-BA7D-8286EDE384BD,Handel och värdemätare  Arkeologisk samling,Vikt 98.5 g  Diameter 60 mm  Diameter 5 mm,1.0,800 – 1100,Vikingatid,1096_HST,33759.0,http://catview.historiska.se/catview/CatViewServlet/index.jsp?action=search&redirect=true&inventoryNumber=33759,2002.0,"Plats: Spillings, Fornlämning: L1976:7626, Fastighet: Spillings 1:36, Socken: Othem socken, Kommun: Gotland kommun, Landskap: Gotland, Land: Sverige",Skattfynd: 2,,,,,,57.7280603,18.7542093,46.3144754,11.0480288,Permian necklace,1096_HST,Subnumber: 478,Silver,Gambling,L1976:7626,Othem parish,Gotland,Sweden,Tax fun,2,Trade and valuers Archaeological collection,Weight 98.5 g Diameter 60 mm Diameter 5 mm,800 – 1100,Viking age,1096_HST,http://catview.historiska.se/catview/CatViewServlet/index.jsp?action=search&redirect=true&inventoryNumber=33759,"Place: Spillings, Ancient site: L1976:7626, Property: Spillings 1:36, Parish: Othem parish, Municipality: Gotland municipality, Landscape: Gotland, Country: Sweden",Tax jokes: 2,,,,,,800,1100,,,,60.0,98.5,
spiralring,1132_HST,33759.0,Undernummer: 526,Silver,Spillings,L1976:7626,Othem socken,Gotland,Sverige,Skattfynd,2,Historiska museet,spiralring - 71,https://samlingar.shm.se/object/8CD295DF-93BD-4D23-859C-CBECC4C6DC65,Handel och värdemätare  Arkeologisk samling,Vikt 8.95 g  Längd 74 mm  Diameter 3 mm,1.0,800 – 1100,Vikingatid,1132_HST,33759.0,http://catview.historiska.se/catview/CatViewServlet/index.jsp?action=search&redirect=true&inventoryNumber=33759,2002.0,"Plats: Spillings, Fornlämning: L1976:7626, Fastighet: Spillings 1:36, Socken: Othem socken, Kommun: Gotland kommun, Landskap: Gotland, Land: Sverige",Skattfynd: 2,,,,,,57.7280603,18.7542093,46.3144754,11.0480288,spiralring,1132_HST,Subnumber: 526,Silver,Gambling,L1976:7626,Othem parish,Gotland,Sweden,Tax fun,2,Trade and valuers Archaeological collection,Weight 8.95 g Length 74 mm Diameter 3 mm,800 – 1100,Viking age,1132_HST,http://catview.historiska.se/catview/CatViewServlet/index.jsp?action=search&redirect=true&inventoryNumber=33759,"Place: Spillings, Ancient site: L1976:7626, Property: Spillings 1:36, Parish: Othem parish, Municipality: Gotland municipality, Landscape: Gotland, Country: Sweden",Tax jokes: 2,,,,,,800,1100,,74.0,,3.0,8.95,
spiralring,1207_HST,33759.0,Undernummer: 656,Silver,Spillings,L1976:7626,Othem socken,Gotland,Sverige,Skattfynd,2,Historiska museet,spiralring - 72,https://samlingar.shm.se/object/526C7A5F-E9C9-4B11-B0F7-85D4BF1295E2,Handel och värdemätare  Arkeologisk samling,Vikt 72.5 g  Diameter 74 mm  Bredd 6 mm  Tjocklek 5 mm,1.0,800 – 1100,Vikingatid,1207_HST,33759.0,http://catview.historiska.se/catview/CatViewServlet/index.jsp?action=search&redirect=true&inventoryNumber=33759,2002.0,"Plats: Spillings, Fornlämning: L1976:7626, Fastighet: Spillings 1:36, Socken: Othem socken, Kommun: Gotland kommun, Landskap: Gotland, Land: Sverige",Skattfynd: 2,,,,,,57.7280603,18.7542093,46.3144754,11.0480288,spiralring,1207_HST,Subnumber: 656,Silver,Gambling,L1976:7626,Othem parish,Gotland,Sweden,Tax fun,2,Trade and valuers Archaeological collection,Weight 72.5 g Diameter 74 mm Width 6 mm Thickness 5 mm,800 – 1100,Viking age,1207_HST,http://catview.historiska.se/catview/CatViewServlet/index.jsp?action=search&redirect=true&inventoryNumber=33759,"Place: Spillings, Ancient site: L1976:7626, Property: Spillings 1:36, Parish: Othem parish, Municipality: Gotland municipality, Landscape: Gotland, Country: Sweden",Tax jokes: 2,,,,,,800,1100,6.0,,5.0,74.0,72.5,
Permisk halsring,1212_HST,33759.0,Undernummer: 661,Silver,Spillings,L1976:7626,Othem socken,Gotland,Sverige,Skattfynd,2,Historiska museet,Permisk halsring - 73,https://samlingar.shm.se/object/81641119-0F0F-4A30-9005-1E8195D43E72,Handel och värdemätare  Arkeologisk samling,Vikt 206.5 g  Diameter 85 mm  Diameter 6 mm,1.0,800 – 1100,Vikingatid,1212_HST,33759.0,http://catview.historiska.se/catview/CatViewServlet/index.jsp?action=search&redirect=true&inventoryNumber=33759,2002.0,"Plats: Spillings, Fornlämning: L1976:7626, Fastighet: Spillings 1:36, Socken: Othem socken, Kommun: Gotland kommun, Landskap: Gotland, Land: Sverige",Skattfynd: 2,,,,,,57.7280603,18.7542093,46.3144754,11.0480288,Permian necklace,1212_HST,Subnumber: 661,Silver,Gambling,L1976:7626,Othem parish,Gotland,Sweden,Tax fun,2,Trade and valuers Archaeological collection,Weight 206.5 g Diameter 85 mm Diameter 6 mm,800 – 1100,Viking age,1212_HST,http://catview.historiska.se/catview/CatViewServlet/index.jsp?action=search&redirect=true&inventoryNumber=33759,"Place: Spillings, Ancient site: L1976:7626, Property: Spillings 1:36, Parish: Othem parish, Municipality: Gotland municipality, Landscape: Gotland, Country: Sweden",Tax jokes: 2,,,,,,800,1100,,,,85.0,206.5,
spiralring,1248_HST,33759.0,Undernummer: 623,Silver,Spillings,L1976:7626,Othem socken,Gotland,Sverige,Skattfynd,2,Historiska museet,spiralring - 74,https://samlingar.shm.se/object/D156BB6E-7652-453B-9B34-EE4F272E81E1,Handel och värdemätare  Arkeologisk samling,Vikt 82.5 g  Diameter 80 mm  Bredd 4 mm  Tjocklek 4 mm,1.0,800 – 1100,Vikingatid,1248_HST,33759.0,http://catview.historiska.se/catview/CatViewServlet/index.jsp?action=search&redirect=true&inventoryNumber=33759,2002.0,"Plats: Spillings, Fornlämning: L1976:7626, Fastighet: Spillings 1:36, Socken: Othem socken, Kommun: Gotland kommun, Landskap: Gotland, Land: Sverige",Skattfynd: 2,,,,,,57.7280603,18.7542093,46.3144754,11.0480288,spiralring,1248_HST,Subnumber: 623,Silver,Gambling,L1976:7626,Othem parish,Gotland,Sweden,Tax fun,2,Trade and valuers Archaeological collection,Weight 82.5 g Diameter 80 mm Width 4 mm Thickness 4 mm,800 – 1100,Viking age,1248_HST,http://catview.historiska.se/catview/CatViewServlet/index.jsp?action=search&redirect=true&inventoryNumber=33759,"Place: Spillings, Ancient site: L1976:7626, Property: Spillings 1:36, Parish: Othem parish, Municipality: Gotland municipality, Landscape: Gotland, Country: Sweden",Tax jokes: 2,,,,,,800,1100,4.0,,4.0,80.0,82.5,
Permisk halsring,10_HST,33758.0,Undernummer: 10,Silver,Spillings,L1976:7626,Othem socken,Gotland,Sverige,Skattfynd,1,Historiska museet,Permisk halsring - 75,https://samlingar.shm.se/object/9260E27E-1DB0-4CC4-8743-145AEC9E222C,Handel och värdemätare  Arkeologisk samling,Vikt 46.4 g  Diameter 52 mm  Diameter 4.5 mm,1.0,800 – 1100,Vikingatid,10_HST,33758.0,http://catview.historiska.se/catview/CatViewServlet/index.jsp?action=search&redirect=true&inventoryNumber=33758,2002.0,"Plats: Spillings, Fornlämning: L1976:7626, Fastighet: Spillings 1:36, Socken: Othem socken, Kommun: Gotland kommun, Landskap: Gotland, Land: Sverige",Skattfynd: 1,KML (inlösen),Spillingskatten,,,,57.7280603,18.7542093,46.3144754,11.0480288,Permian necklace,10_HST,Subnumber: 10,Silver,Gambling,L1976:7626,Othem parish,Gotland,Sweden,Tax fun,1,Trade and valuers Archaeological collection,Weight 46.4 g Diameter 52 mm Diameter 4.5 mm,800 – 1100,Viking age,10_HST,http://catview.historiska.se/catview/CatViewServlet/index.jsp?action=search&redirect=true&inventoryNumber=33758,"Place: Spillings, Ancient site: L1976:7626, Property: Spillings 1:36, Parish: Othem parish, Municipality: Gotland municipality, Landscape: Gotland, Country: Sweden",Tax jokes: 1,KML (redemption),The gambling tax,,,,800,1100,,,,52.0,46.4,
Permisk halsring,53_HST,33758.0,Undernummer: 60,Silver,Spillings,L1976:7626,Othem socken,Gotland,Sverige,Skattfynd,1,Historiska museet,Permisk halsring - 76,https://samlingar.shm.se/object/5034378B-CAF8-48C7-8CA3-19ACB050BBE0,Handel och värdemätare  Arkeologisk samling,Vikt 36.5 g  Diameter 61 mm  Diameter 5 mm,1.0,800 – 1100,Vikingatid,53_HST,33758.0,http://catview.historiska.se/catview/CatViewServlet/index.jsp?action=search&redirect=true&inventoryNumber=33758,2002.0,"Plats: Spillings, Fornlämning: L1976:7626, Fastighet: Spillings 1:36, Socken: Othem socken, Kommun: Gotland kommun, Landskap: Gotland, Land: Sverige",Skattfynd: 1,KML (inlösen),Spillingskatten,,,,57.7280603,18.7542093,46.3144754,11.0480288,Permian necklace,53_HST,Subnumber: 60,Silver,Gambling,L1976:7626,Othem parish,Gotland,Sweden,Tax fun,1,Trade and valuers Archaeological collection,Weight 36.5 g Diameter 61 mm Diameter 5 mm,800 – 1100,Viking age,53_HST,http://catview.historiska.se/catview/CatViewServlet/index.jsp?action=search&redirect=true&inventoryNumber=33758,"Place: Spillings, Ancient site: L1976:7626, Property: Spillings 1:36, Parish: Othem parish, Municipality: Gotland municipality, Landscape: Gotland, Country: Sweden",Tax jokes: 1,KML (redemption),The gambling tax,,,,800,1100,,,,61.0,36.5,
Konglomerat,110_HST,33758.0,Undernummer: 172,Silver,Spillings,L1976:7626,Othem socken,Gotland,Sverige,Skattfynd,1,Historiska museet,Konglomerat - 77,https://samlingar.shm.se/object/861C3369-8557-4E88-9F1F-7484BED83E35,Dräkt och personlig utrustning  Handel och värdemätare  Arkeologisk samling,Vikt 2950 g,1.0,800 – 1100,Vikingatid,110_HST,33758.0,http://catview.historiska.se/catview/CatViewServlet/index.jsp?action=search&redirect=true&inventoryNumber=33758,2002.0,"Plats: Spillings, Fornlämning: L1976:7626, Fastighet: Spillings 1:36, Socken: Othem socken, Kommun: Gotland kommun, Landskap: Gotland, Land: Sverige",Skattfynd: 1,KML (inlösen),Spillingskatten,,,,57.7280603,18.7542093,46.3144754,11.0480288,Conglomerate,110_HST,Subnumber: 172,Silver,Gambling,L1976:7626,Othem parish,Gotland,Sweden,Tax fun,1,Costume and Personal Equipment Trade and Value Gauges Archaeological Collection,Weight 2950 g,800 – 1100,Viking age,110_HST,http://catview.historiska.se/catview/CatViewServlet/index.jsp?action=search&redirect=true&inventoryNumber=33758,"Place: Spillings, Ancient site: L1976:7626, Property: Spillings 1:36, Parish: Othem parish, Municipality: Gotland municipality, Landscape: Gotland, Country: Sweden",Tax jokes: 1,KML (redemption),The gambling tax,,,,800,1100,,,,,2950.0,
Permisk halsring,117_HST,33758.0,Undernummer: 179,Silver,Spillings,L1976:7626,Othem socken,Gotland,Sverige,Skattfynd,1,Historiska museet,Permisk halsring - 78,https://samlingar.shm.se/object/2FDAC5A9-F306-4720-996A-E5B3E48EC062,Handel och värdemätare  Arkeologisk samling,Vikt 89.5 g  Diameter 73 mm  Diameter 6 mm,1.0,800 – 1100,Vikingatid,117_HST,33758.0,http://catview.historiska.se/catview/CatViewServlet/index.jsp?action=search&redirect=true&inventoryNumber=33758,2002.0,"Plats: Spillings, Fornlämning: L1976:7626, Fastighet: Spillings 1:36, Socken: Othem socken, Kommun: Gotland kommun, Landskap: Gotland, Land: Sverige",Skattfynd: 1,KML (inlösen),Spillingskatten,,,,57.7280603,18.7542093,46.3144754,11.0480288,Permian necklace,117_HST,Subnumber: 179,Silver,Gambling,L1976:7626,Othem parish,Gotland,Sweden,Tax fun,1,Trade and valuers Archaeological collection,Weight 89.5 g Diameter 73 mm Diameter 6 mm,800 – 1100,Viking age,117_HST,http://catview.historiska.se/catview/CatViewServlet/index.jsp?action=search&redirect=true&inventoryNumber=33758,"Place: Spillings, Ancient site: L1976:7626, Property: Spillings 1:36, Parish: Othem parish, Municipality: Gotland municipality, Landscape: Gotland, Country: Sweden",Tax jokes: 1,KML (redemption),The gambling tax,,,,800,1100,,,,73.0,89.5,
spiralring,119_HST,33758.0,Undernummer: 181,Silver,Spillings,L1976:7626,Othem socken,Gotland,Sverige,Skattfynd,1,Historiska museet,spiralring - 79,https://samlingar.shm.se/object/6278A060-0A13-43AD-85A3-4F2CBCC193EA,Handel och värdemätare  Arkeologisk samling,Vikt 79.7 g  Diameter 71 mm  Diameter 5 mm,1.0,800 – 1100,Vikingatid,119_HST,33758.0,http://catview.historiska.se/catview/CatViewServlet/index.jsp?action=search&redirect=true&inventoryNumber=33758,2002.0,"Plats: Spillings, Fornlämning: L1976:7626, Fastighet: Spillings 1:36, Socken: Othem socken, Kommun: Gotland kommun, Landskap: Gotland, Land: Sverige",Skattfynd: 1,KML (inlösen),Spillingskatten,,,,57.7280603,18.7542093,46.3144754,11.0480288,spiralring,119_HST,Subnumber: 181,Silver,Gambling,L1976:7626,Othem parish,Gotland,Sweden,Tax fun,1,Trade and valuers Archaeological collection,Weight 79.7 g Diameter 71 mm Diameter 5 mm,800 – 1100,Viking age,119_HST,http://catview.historiska.se/catview/CatViewServlet/index.jsp?action=search&redirect=true&inventoryNumber=33758,"Place: Spillings, Ancient site: L1976:7626, Property: Spillings 1:36, Parish: Othem parish, Municipality: Gotland municipality, Landscape: Gotland, Country: Sweden",Tax jokes: 1,KML (redemption),The gambling tax,,,,800,1100,,,,71.0,79.7,
Permisk halsring,178_HST,33758.0,Undernummer: 395,Silver,Spillings,L1976:7626,Othem socken,Gotland,Sverige,Skattfynd,1,Historiska museet,Permisk halsring - 80,https://samlingar.shm.se/object/F4BBBB2E-7238-4DA1-9F27-7999FEE752F4,Handel och värdemätare  Arkeologisk samling,Vikt 19.5 g  Diameter 64 mm  Diameter 4 mm,1.0,800 – 1100,Vikingatid,178_HST,33758.0,http://catview.historiska.se/catview/CatViewServlet/index.jsp?action=search&redirect=true&inventoryNumber=33758,2002.0,"Plats: Spillings, Fornlämning: L1976:7626, Fastighet: Spillings 1:36, Socken: Othem socken, Kommun: Gotland kommun, Landskap: Gotland, Land: Sverige",Skattfynd: 1,KML (inlösen),Spillingskatten,,,,57.7280603,18.7542093,46.3144754,11.0480288,Permian necklace,178_HST,Subnumber: 395,Silver,Gambling,L1976:7626,Othem parish,Gotland,Sweden,Tax fun,1,Trade and valuers Archaeological collection,Weight 19.5 g Diameter 64 mm Diameter 4 mm,800 – 1100,Viking age,178_HST,http://catview.historiska.se/catview/CatViewServlet/index.jsp?action=search&redirect=true&inventoryNumber=33758,"Place: Spillings, Ancient site: L1976:7626, Property: Spillings 1:36, Parish: Othem parish, Municipality: Gotland municipality, Landscape: Gotland, Country: Sweden",Tax jokes: 1,KML (redemption),The gambling tax,,,,800,1100,,,,64.0,19.5,
Permisk halsring,237_HST,33758.0,Undernummer: 452,Silver,Spillings,L1976:7626,Othem socken,Gotland,Sverige,Skattfynd,1,Historiska museet,Permisk halsring - 81,https://samlingar.shm.se/object/90054C9F-44B9-46AE-8625-8EB44F41D7CF,Handel och värdemätare  Arkeologisk samling,Vikt 41 g  Diameter 63 mm  Diameter 4 mm,1.0,800 – 1100,Vikingatid,237_HST,33758.0,http://catview.historiska.se/catview/CatViewServlet/index.jsp?action=search&redirect=true&inventoryNumber=33758,2002.0,"Plats: Spillings, Fornlämning: L1976:7626, Fastighet: Spillings 1:36, Socken: Othem socken, Kommun: Gotland kommun, Landskap: Gotland, Land: Sverige",Skattfynd: 1,KML (inlösen),Spillingskatten,,,,57.7280603,18.7542093,46.3144754,11.0480288,Permian necklace,237_HST,Subnumber: 452,Silver,Gambling,L1976:7626,Othem parish,Gotland,Sweden,Tax fun,1,Trade and valuers Archaeological collection,Weight 41 g Diameter 63 mm Diameter 4 mm,800 – 1100,Viking age,237_HST,http://catview.historiska.se/catview/CatViewServlet/index.jsp?action=search&redirect=true&inventoryNumber=33758,"Place: Spillings, Ancient site: L1976:7626, Property: Spillings 1:36, Parish: Othem parish, Municipality: Gotland municipality, Landscape: Gotland, Country: Sweden",Tax jokes: 1,KML (redemption),The gambling tax,,,,800,1100,,,,63.0,41.0,
spiralring,244_HST,33758.0,Undernummer: 459,Silver,Spillings,L1976:7626,Othem socken,Gotland,Sverige,Skattfynd,1,Historiska museet,spiralring - 82,https://samlingar.shm.se/object/4917626D-D789-4587-95E8-9E71DAB4AC29,Handel och värdemätare  Arkeologisk samling,Vikt 58.5 g  Diameter 71 mm  Bredd 4 mm,1.0,800 – 1100,Vikingatid,244_HST,33758.0,http://catview.historiska.se/catview/CatViewServlet/index.jsp?action=search&redirect=true&inventoryNumber=33758,2002.0,"Plats: Spillings, Fornlämning: L1976:7626, Fastighet: Spillings 1:36, Socken: Othem socken, Kommun: Gotland kommun, Landskap: Gotland, Land: Sverige",Skattfynd: 1,KML (inlösen),Spillingskatten,,,,57.7280603,18.7542093,46.3144754,11.0480288,spiralring,244_HST,Subnumber: 459,Silver,Gambling,L1976:7626,Othem parish,Gotland,Sweden,Tax fun,1,Trade and valuers Archaeological collection,Weight 58.5 g Diameter 71 mm Width 4 mm,800 – 1100,Viking age,244_HST,http://catview.historiska.se/catview/CatViewServlet/index.jsp?action=search&redirect=true&inventoryNumber=33758,"Place: Spillings, Ancient site: L1976:7626, Property: Spillings 1:36, Parish: Othem parish, Municipality: Gotland municipality, Landscape: Gotland, Country: Sweden",Tax jokes: 1,KML (redemption),The gambling tax,,,,800,1100,4.0,,,71.0,58.5,
Mynthänge,46_HST,33758.0,Undernummer: 50,Silver,Spillings,L1976:7626,Othem socken,Gotland,Sverige,Skattfynd,1,Historiska museet,Mynthänge - 83,https://samlingar.shm.se/object/32ECD6F0-CE46-476D-81D0-512997A43085,Dräkt och personlig utrustning  Handel och värdemätare  Arkeologisk samling,Vikt 49.3 g,38.0,800 – 1100,Vikingatid,46_HST,33758.0,http://catview.historiska.se/catview/CatViewServlet/index.jsp?action=search&redirect=true&inventoryNumber=33758,2002.0,"Plats: Spillings, Fornlämning: L1976:7626, Fastighet: Spillings 1:36, Socken: Othem socken, Kommun: Gotland kommun, Landskap: Gotland, Land: Sverige",Skattfynd: 1,KML (inlösen),Spillingskatten,,,,57.7280603,18.7542093,46.3144754,11.0480288,Coin pendant,46_HST,Subnumber: 50,Silver,Gambling,L1976:7626,Othem parish,Gotland,Sweden,Tax fun,1,Costume and Personal Equipment Trade and Value Gauges Archaeological Collection,Weight 49.3 g,800 – 1100,Viking age,46_HST,http://catview.historiska.se/catview/CatViewServlet/index.jsp?action=search&redirect=true&inventoryNumber=33758,"Place: Spillings, Ancient site: L1976:7626, Property: Spillings 1:36, Parish: Othem parish, Municipality: Gotland municipality, Landscape: Gotland, Country: Sweden",Tax jokes: 1,KML (redemption),The gambling tax,,,,800,1100,,,,,49.3,
Barr,50_HST,33758.0,Undernummer: 57,Silver,Spillings,L1976:7626,Othem socken,Gotland,Sverige,Skattfynd,1,Historiska museet,Barr - 84,https://samlingar.shm.se/object/7018CC3C-AE00-42BE-96CD-735E7426B5D4,Hantverk och redskap  Handel och värdemätare  Arkeologisk samling,Vikt 10 g  Längd 36 mm  Bredd 7 mm  Tjocklek 6.5 mm,1.0,800 – 1100,Vikingatid,50_HST,33758.0,http://catview.historiska.se/catview/CatViewServlet/index.jsp?action=search&redirect=true&inventoryNumber=33758,2002.0,"Plats: Spillings, Fornlämning: L1976:7626, Fastighet: Spillings 1:36, Socken: Othem socken, Kommun: Gotland kommun, Landskap: Gotland, Land: Sverige",Skattfynd: 1,KML (inlösen),Spillingskatten,,,,57.7280603,18.7542093,46.3144754,11.0480288,Barr,50_HST,Subnumber: 57,Silver,Gambling,L1976:7626,Othem parish,Gotland,Sweden,Tax fun,1,Crafts and implements Trade and valuers Archaeological collection,Weight 10 g Length 36 mm Width 7 mm Thickness 6.5 mm,800 – 1100,Viking age,50_HST,http://catview.historiska.se/catview/CatViewServlet/index.jsp?action=search&redirect=true&inventoryNumber=33758,"Place: Spillings, Ancient site: L1976:7626, Property: Spillings 1:36, Parish: Othem parish, Municipality: Gotland municipality, Landscape: Gotland, Country: Sweden",Tax jokes: 1,KML (redemption),The gambling tax,,,,800,1100,7.0,36.0,6.5,,10.0,
Barr,64_HST,33758.0,Undernummer: 113,Silver,Spillings,L1976:7626,Othem socken,Gotland,Sverige,Skattfynd,1,Historiska museet,Barr - 85,https://samlingar.shm.se/object/50EEAB6B-F3BC-4F28-BF91-83BBCB2D9CB7,Hantverk och redskap  Handel och värdemätare  Arkeologisk samling,Vikt 14.5 g  Längd 28 mm  Bredd 12 mm  Tjocklek 8 mm,1.0,800 – 1100,Vikingatid,64_HST,33758.0,http://catview.historiska.se/catview/CatViewServlet/index.jsp?action=search&redirect=true&inventoryNumber=33758,2002.0,"Plats: Spillings, Fornlämning: L1976:7626, Fastighet: Spillings 1:36, Socken: Othem socken, Kommun: Gotland kommun, Landskap: Gotland, Land: Sverige",Skattfynd: 1,KML (inlösen),Spillingskatten,,,,57.7280603,18.7542093,46.3144754,11.0480288,Barr,64_HST,Subnumber: 113,Silver,Gambling,L1976:7626,Othem parish,Gotland,Sweden,Tax fun,1,Crafts and implements Trade and valuers Archaeological collection,Weight 14.5 g Length 28 mm Width 12 mm Thickness 8 mm,800 – 1100,Viking age,64_HST,http://catview.historiska.se/catview/CatViewServlet/index.jsp?action=search&redirect=true&inventoryNumber=33758,"Place: Spillings, Ancient site: L1976:7626, Property: Spillings 1:36, Parish: Othem parish, Municipality: Gotland municipality, Landscape: Gotland, Country: Sweden",Tax jokes: 1,KML (redemption),The gambling tax,,,,800,1100,12.0,28.0,8.0,,14.5,
Barr,66_HST,33758.0,Undernummer: 118,Silver,Spillings,L1976:7626,Othem socken,Gotland,Sverige,Skattfynd,1,Historiska museet,Barr - 86,https://samlingar.shm.se/object/9E84D597-2B03-49D4-AA4A-071787E9624C,Hantverk och redskap  Handel och värdemätare  Arkeologisk samling,Vikt 38.2 g  Längd 72.5 mm  Bredd 9 mm  Tjocklek 8 mm,1.0,800 – 1100,Vikingatid,66_HST,33758.0,http://catview.historiska.se/catview/CatViewServlet/index.jsp?action=search&redirect=true&inventoryNumber=33758,2002.0,"Plats: Spillings, Fornlämning: L1976:7626, Fastighet: Spillings 1:36, Socken: Othem socken, Kommun: Gotland kommun, Landskap: Gotland, Land: Sverige",Skattfynd: 1,KML (inlösen),Spillingskatten,,,,57.7280603,18.7542093,46.3144754,11.0480288,Barr,66_HST,Subnumber: 118,Silver,Gambling,L1976:7626,Othem parish,Gotland,Sweden,Tax fun,1,Crafts and implements Trade and valuers Archaeological collection,Weight 38.2 g Length 72.5 mm Width 9 mm Thickness 8 mm,800 – 1100,Viking age,66_HST,http://catview.historiska.se/catview/CatViewServlet/index.jsp?action=search&redirect=true&inventoryNumber=33758,"Place: Spillings, Ancient site: L1976:7626, Property: Spillings 1:36, Parish: Othem parish, Municipality: Gotland municipality, Landscape: Gotland, Country: Sweden",Tax jokes: 1,KML (redemption),The gambling tax,,,,800,1100,9.0,72.5,8.0,,38.2,
Barr,114_HST,33758.0,Undernummer: 176,Silver,Spillings,L1976:7626,Othem socken,Gotland,Sverige,Skattfynd,1,Historiska museet,Barr - 87,https://samlingar.shm.se/object/4097C092-D6CC-4A36-BC5D-0B3FF0EFBC81,Hantverk och redskap  Handel och värdemätare  Arkeologisk samling,Vikt 98.9 g  Längd 73 mm  Bredd 14 mm  Tjocklek 9 mm,1.0,800 – 1100,Vikingatid,114_HST,33758.0,http://catview.historiska.se/catview/CatViewServlet/index.jsp?action=search&redirect=true&inventoryNumber=33758,2002.0,"Plats: Spillings, Fornlämning: L1976:7626, Fastighet: Spillings 1:36, Socken: Othem socken, Kommun: Gotland kommun, Landskap: Gotland, Land: Sverige",Skattfynd: 1,KML (inlösen),Spillingskatten,,,,57.7280603,18.7542093,46.3144754,11.0480288,Barr,114_HST,Subnumber: 176,Silver,Gambling,L1976:7626,Othem parish,Gotland,Sweden,Tax fun,1,Crafts and implements Trade and valuers Archaeological collection,Weight 98.9 g Length 73 mm Width 14 mm Thickness 9 mm,800 – 1100,Viking age,114_HST,http://catview.historiska.se/catview/CatViewServlet/index.jsp?action=search&redirect=true&inventoryNumber=33758,"Place: Spillings, Ancient site: L1976:7626, Property: Spillings 1:36, Parish: Othem parish, Municipality: Gotland municipality, Landscape: Gotland, Country: Sweden",Tax jokes: 1,KML (redemption),The gambling tax,,,,800,1100,14.0,73.0,9.0,,98.9,
